,word,n
1,food,263
2,health,228
3,people,195
4,water,185
5,zika,158
6,clinton,125
7,body,109
8,time,109
9,natural,103
10,cancer,102
11,2016,97
12,foods,95
13,disease,92
14,organic,87
15,found,83
16,sources,79
17,vitamin,78
18,media,76
19,day,74
20,percent,73
21,brain,72
22,research,69
23,study,68
24,world,68
25,healthy,66
26,free,64
27,heart,64
28,oil,63
29,children,62
30,naturalnews,62
