"","word","n"
"399","fresh",7
"400","goddamn",7
"401","haunted",7
"402","heart",7
"403","heaven",7
"404","karen",7
"405","kid",7
"406","leading",7
"407","learn",7
"408","lose",7
"409","lotion",7
"410","money",7
"411","music",7
"412","normal",7
"413","obi",7
"414","park",7
"415","person",7
"416","press",7
"417","program",7
"418","pull",7
"419","reason",7
"420","refugees",7
"421","residents",7
"422","serve",7
"423","sitting",7
"424","spaceship",7
"425","standing",7
"426","stories",7
"427","stuck",7
"428","subway",7
"429","syrian",7
"430","talking",7
"431","they’ve",7
"432","threw",7
"433","tie",7
"434","toilet",7
"435","top",7
"436","uh",7
"437","voting",7
"438","worry",7
"439","worth",7
"440","wrong",7
"441","100",6
"442","airport",6
"443","approach",6
"444","assault",6
"445","asses",6
"446","austen",6
"447","awesome",6
"448","baby",6
"449","baseball",6
"450","bigger",6
"451","bottom",6
"452","candidate",6
"453","career",6
"454","class",6
"455","coffee",6
"456","community",6
"457","costume",6
"458","dancing",6
"459","expected",6
"460","fans",6
"461","finger",6
"462","flight",6
"463","ghosts",6
"464","hall",6
"465","he’d",6
"466","heads",6
"467","healthy",6
"468","held",6
"469","historic",6
"470","hold",6
"471","including",6
"472","internet",6
"473","jail",6
"474","james",6
"475","joint",6
"476","joy",6
"477","knowing",6
"478","lives",6
"479","local",6
"480","lunch",6
"481","marvel",6
"482","mating",6
"483","mayer",6
"484","mistake",6
"485","monkey",6
"486","nation",6
"487","nba",6
"488","neighborhood",6
"489","officially",6
"490","oscar",6
"491","ovaries",6
"492","painted",6
"493","paste",6
"494","performer",6
"495","picking",6
"496","practice",6
"497","prince",6
"498","princess",6
"499","republican",6
"500","retirement",6
"501","ride",6
"502","road",6
"503","rolling",6
"504","run",6
"505","safety",6
"506","sale",6
"507","season",6
"508","sense",6
"509","setting",6
"510","shouldn’t",6
"511","sight",6
"512","sir",6
"513","sit",6
"514","sophie",6
"515","steps",6
"516","suddenly",6
"517","surprised",6
"518","swimming",6
"519","table",6
"520","tears",6
"521","theaters",6
"522","thick",6
"523","tree",6
"524","united",6
"525","vegetables",6
"526","voter",6
"527","voters",6
"528","wan",6
"529","warm",6
"530","we’ll",6
"531","wearing",6
"532","website",6
"533","weed",6
"534","wet",6
"535","wind",6
"536","written",6
"537","90s",5
"538","action",5
"539","admit",5
"540","ah",5
"541","alexa",5
"542","allowed",5
"543","anymore",5
"544","apartment",5
"545","apparently",5
"546","appeared",5
"547","appears",5
"548","apples",5
"549","attention",5
"550","biggest",5
"551","birds",5
"552","bottle",5
"553","brain",5
"554","brand",5
"555","brother",5
"556","calling",5
"557","chosen",5
"558","citizens",5
"559","classic",5
"560","colleen",5
"561","comfort",5
"562","comfortable",5
"563","common",5
"564","contact",5
"565","continue",5
"566","control",5
"567","convicted",5
"568","corn",5
"569","corner",5
"570","cost",5
"571","counter",5
"572","creatures",5
"573","cry",5
"574","crying",5
"575","dark",5
"576","decades",5
"577","deck",5
"578","democracy",5
"579","disgusting",5
"580","disney",5
"581","doubt",5
"582","driving",5
"583","dry",5
"584","due",5
"585","eggs",5
"586","eisenberg",5
"587","excited",5
"588","extra",5
"589","failed",5
"590","fall",5
"591","fast",5
"592","federal",5
"593","feels",5
"594","fighting",5
"595","film",5
"596","finished",5
"597","firestone",5
"598","fireworks",5
"599","follow",5
"600","force",5
"601","giving",5
"602","glass",5
"603","government",5
"604","grocery",5
"605","he’ll",5
"606","headed",5
"607","hear",5
"608","hell",5
"609","hillary",5
"610","hippo",5
"611","hologram",5
"612","hopes",5
"613","hour",5
"614","iguanas",5
"615","imagine",5
"616","invented",5
"617","jesse",5
"618","karnes",5
"619","key",5
"620","kimberly",5
"621","lady",5
"622","leaving",5
"623","lights",5
"624","lincoln",5
"625","luck",5
"626","lunches",5
"627","map",5
"628","marks",5
"629","meryl",5
"630","mess",5
"631","moments",5
"632","moon",5
"633","moving",5
"634","named",5
"635","nation’s",5
"636","neil",5
"637","noise",5
"638","noticed",5
"639","offered",5
"640","oval",5
"641","parents",5
"642","pay",5
"643","performers",5
"644","piece",5
"645","pig",5
"646","ping",5
"647","pins",5
"648","poland",5
"649","pong",5
"650","position",5
"651","possession",5
"652","post",5
"653","presidents",5
"654","proud",5
"655","quickly",5
"656","raise",5
"657","ran",5
"658","readers",5
"659","realize",5
"660","release",5
"661","remind",5
"662","responsibility",5
"663","reward",5
"664","rich",5
"665","rock",5
"666","rocks",5
"667","roll",5
"668","ryan",5
"669","sarah",5
"670","screen",5
"671","secret",5
"672","service",5
"673","shirt",5
"674","silence",5
"675","simply",5
"676","situation",5
"677","sleep",5
"678","sort",5
"679","spend",5
"680","spray",5
"681","spread",5
"682","stare",5
"683","steak",5
"684","stepped",5
"685","stick",5
"686","streep",5
"687","strong",5
"688","student",5
"689","stuff",5
"690","summer",5
"691","sun",5
"692","support",5
"693","sweet",5
"694","teach",5
"695","teen",5
"696","televisions",5
"697","tent",5
"698","tip",5
"699","tires",5
"700","touch",5
"701","trees",5
"702","tremendous",5
"703","truth",5
"704","tv",5
"705","twitter",5
"706","victory",5
"707","viewing",5
"708","voted",5
"709","walk",5
"710","wall",5
"711","weren’t",5
"712","whistle",5
"713","wide",5
"714","wolf",5
"715","yoda’s",5
"716","you’d",5
"717","11",4
"718","12",4
"719","50",4
"720","accidentally",4
"721","administration",4
"722","afford",4
"723","ahead",4
"724","alarm",4
"725","alexa’s",4
"726","amamu",4
"727","america’s",4
"728","animal’s",4
"729","announced",4
"730","anxiety",4
"731","arm",4
"732","assume",4
"733","assured",4
"734","ate",4
"735","avoid",4
"736","bar",4
"737","behavior",4
"738","beliefs",4
"739","bill",4
"740","bone",4
"741","booth",4
"742","bottled",4
"743","breath",4
"744","brought",4
"745","burst",4
"746","buy",4
"747","cabinet",4
"748","canceled",4
"749","candidates",4
"750","candle",4
"751","carefully",4
"752","celebrating",4
"753","chest",4
"754","chief",4
"755","choose",4
"756","civil",4
"757","cloak",4
"758","clock",4
"759","college",4
"760","companies",4
"761","company’s",4
"762","constantly",4
"763","continuing",4
"764","convinced",4
"765","couple",4
"766","cover",4
